contaminante,zona,valor_activacion(ppb),estacion_inicio,dia_semana_inicio,fecha_activacion,hora_inicio,fase,valor_maximo,estacion_durante,fecha_durante,hora_durante,fecha_desactivacion,hora_levantamiento,valor_desactivacion_levantamiento,año
Ozono,CE,168,Benito Juárez,Jueves,05/05/2022,16:00,I,168,Benito Juárez,05/05/2022,16:00,44687,20:00,94,2022
Ozono,CE / SO,169,Benito Juárez / Centro de Ciencias de la Atmósfera,Lunes,02/05/2022,17:00,I,169,Benito Juárez / Centro de Ciencias de la Atmósfera,02/05/2022,17:00,04/05/2022,20:00,90,2022
Ozono,SO,162,Santa Fe,Martes,29/03/2022,16:00,I,162,Santa Fe,29/03/2022,16:00,44650,17:00,100,2022
PM2.5,SE,99.9,Santiago Acahualtepec,sábado,25/12/2021,11:00,I Regional,107.2,Santiago Acahualtepec,25/12/2021,15:00,44556,03:00,93.1,2021
Ozono,SO,157,Centro de Ciencias de la Atmósfera,Martes,08/06/2021,16:00,I,158,Santa Fe,08/06/2021,17:00,08/06/2021,20:00,79,2021
Ozono,SO,159,Centro de Ciencias de la Atmósfera,Lunes,26/04/2021,16:00,I,159,Centro de Ciencias de la Atmosfera,26/04/2021,16:00,27/04/2021,18:00,119,2021
Ozono,NO,160,Tultitlán,Miércoles,21/04/2021,18:00,I,160,Tultitlán,21/04/2021,18:00,44308,20:00,93,2021
Ozono,SO,159,Centro de Ciencias de la Atmósfera,Miércoles,11/11/2020,16:00,I,159,Centro de Ciencias de la Atmosfera,11/11/2020,16:00,12/11/2020,20:00,52,2020
PM2.5,NE,155,Nezahualcóyotl,Miércoles,25/12/2019,11:00,I Regional,178,Nezahualcóyotl,26/12/2019,01:00,43825,10:00,116,2019
PM2.5   y,NE,161,Nezahualcóyotl,Martes,14/05/2019,15:00,Extraordinaria,161,Nezahualcóyotl,14/05/2019,09:00,43602,19:00,96,2019
Ozono,SO,142,Pedregal,Martes,14/05/2019,15:00,Extraordinaria,149,Tulritlán,14/05/2019,16:00,17/05/20219,19:00,106,2019
Ozono,NO,154,Camarones,Martes,16/04/2019,17:00,I,154,Camarones,16/04/2019,17:00,43573,15:00,114,2019
Ozono,SO,152,Pedregal,Miércoles,10/04/2019,17:00,I,154,Nezahualcóyotl,10/04/2019,18:00,11/04/2019,15:00,126,2019
Ozono,SO,155,Pedregal,Sábado,30/03/2019,15:00,I,155,Pedregal,30/03/2019,15:00,31/03/2019,15:00,138,2019
PM10,NE,157,Villa de las Flores,Martes,01/01/2019,09:00,I Regional,164,Villa de las Flores,01/01/2019,11:00,43467,10:00,105,2019
PM10,NE,152,Villa de las Flores,Martes,25/12/2018,11:00,I Regional,156,Villa de las Flores,25/12/2018,11:00,43460,10:00,113,2018
Ozono,SO,161,Pedregal,Miércoles,06/06/2018,16:00,I,161,Pedregal,06/06/2018,16:00,43258,16:00,144,2018
PM10,NE,154,San Agustín,Jueves,14/12/2017,11:00,I Regional,162,Xalostoc,14/12/2017,14:00,43084,09:00,147,2017
Ozono,NE,162,Gustavo A. Madero,Lunes,22/05/2017,15:00,I,183,Centro de Ciencias de la Atmosfera,23/05/2017,18:00,42879,18:00,105,2017
Ozono,SO,151,Ajusco Medio,Lunes,15/05/2017,16:00,I,186,Benito Juárez,20/05/2017,17:00,42876,19:00,104,2017
PM10,NE,153,Xalostoc,Viernes,06/01/2017,09:00,I Regional,158,Xalostoc,06/01/2017,12:00,42376,09:00,132,2017
Ozono,SO,151,Ajusco Medio,Jueves,11/08/2016,16:00,I,158,Ajusco Medio,11/08/2016,17:00,42594,17:00,127,2016
Ozono,SO,152,Santa Fe,Viernes,08/07/2016,17:00,I,152,Santa Fe,08/07/2016,17:00,42560,15:00,88,2016
Ozono,SO,155,Miguel Hidalgo,Martes,31/05/2016,16:00,I,161,Santa Fe,31/05/2016,17:00,42522,18:00,115,2016
