Key,Name,ID,O3,CO,SO2,NO2,PM10,PM25,Status,date,active_env_contingency,Alcaldía o municipio,State,Altitud (msnm),Latitude,Longitude,xTile_in,yTile_in,Domicilio,Página,Notas
GAM,Gustavo A. Madero,4.8409E+11,3,,,3,3,3,Activa,2024-04-10 12:00:00,1,Gustavo A. Madero,CDMX,2227,19.4827,-99.094517,14728,29150,"Av. Ing. Eduardo Molina No. 1577, Col. Salvador Diaz Miron, C.P. 07400",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=eHN9,
HGM,Hospital General de México,4.8409E+11,3,1,3,3,3,3,Activa,2024-04-10 12:00:00,1,Cuauhtémoc,CDMX,2234,19.411617,-99.152207,14717,29164,"Dr. Balmis No.148, Col. Doctores, C.P. 06726",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=eXl9,
INN,Investigaciones Nucleares,4.84151E+11,4,3,4,,3,4,Activa,2024-04-10 12:00:00,1,Ocoyoacac,Estado de México,3082,19.291968,-99.38052,14676,29187,"Carretera México-Toluca s/n, La Marquesa, Ocoyoacac, C.P. 52750",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=eoB+,
IZT,Iztacalco,4.8409E+11,3,2,3,3,3,,Activa,2024-04-10 12:00:00,1,Iztacalco,CDMX,2238,19.384413,-99.117641,14724,29169,"Guillermo Prieto y Melchor Ocampo No. 73, Col. Campamento 2 de octubre, C.P. 08930",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=eoyE,
LPR,La Presa,4.84151E+11,3,2,3,,,,Activa,2024-04-10 12:00:00,1,Tlalnepantla de Baz,Estado de México,2302,19.534727,-99.11772,14724,29140,"Asociación Mexicana de Excursionistas del D.F. s/n, Col. La Presa, C.P. 54189",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=fYKC,
LAA,Laboratorio de Análisis Ambiental,4.8409E+11,,,,,,,Activa,2024-04-10 12:00:00,0,Gustavo A. Madero,CDMX,2255,19.483781,-99.147312,,,"Av. Sur de los Cien Metros s/n, Col. Nueva Vallejo, C.P. 07750",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=fXNx,"Solo lee VV, DV, TMP, HR, UVA, UVB, PA, Depósito atmosférico, pH"
IBM,Legaria,4.8409E+11,,,,,,,Activa,2024-04-10 12:00:00,0,Miguel Hidalgo,CDMX,2314,19.443319,-99.21536,,,"Calz. Legaria No. 853, Col. Irrigación, C.P. 11500",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=enR9,Solo lee depósito atmosférico y pH
LOM,Lomas,4.8409E+11,,,,,4,,Activa,2024-04-10 12:00:00,1,Miguel Hidalgo,CDMX,2434,19.403,-99.242062,14701,29166,"Ciruelo No. 99, Col. Bosques de las Lomas, C.P. 11700",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=fYF9,
LLA,Los Laureles,4.8415E+11,4,2,3,3,,,Activa,2024-04-10 12:00:00,1,Ecatepec de Morelos ,Estado de México,2230,19.578792,-99.039644,14738,29132,"Río Piedad esq. Ponce s/n, Col. Fracc. Río Piedras, C.P. 55090",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=fX5x,
MER,Merced,4.8409E+11,3,2,3,3,3,3,Activa,2024-04-10 12:00:00,1,Venustiano Carranza,CDMX,2245,19.42461,-99.119594,14723,29162,"Congreso de la Unión esq. Stan de Tiro s/n, Col. Merced Balbuena, C.P. 15860",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=fneC,
MGH,Miguel Hidalgo,4.8409E+11,3,2,3,3,3,3,Activa,2024-04-10 12:00:00,1,Miguel Hidalgo,CDMX,2366,19.40405,-99.202603,14708,29166,"Calle Sur 128 No. 53, Col. América, Miguel Hidalgo, C.P. 11820",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=fnl4,
MPA,Milpa Alta,4.8409E+11,4,3,4,4,,,Activa,2024-04-10 12:00:00,1,Milpa Alta,CDMX,2594,19.1769,-98.990189,14747,29209,"Blvd. Nuevo León No. 386, Col. Villa Milpa Alta, C.P. 12000",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=foJx,
